filename,object,qobject,qra,qdec,obsdate,exptime,obsmode,obstype,program,piname,sunagl,airmass,seeing,moonagl,ccfjdsum,ccfrvmod,dvrms,swversion,extsnr,flagged
neidL2_20260120T102806.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 10:28:06,960.004643,hr,Sci,2025B-391512,Juliette Becker,-50.1306,1.6224,0.0,15.0189,2461060.9478977,42.9108,0.0011,v1.4.2,140.5843,0
neidL2_20260120T101138.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 10:11:38,960.004895,hr,Sci,2025B-391512,Juliette Becker,-53.588,1.5082,0.0,15.0078,2461060.93627534,42.908,0.0011,v1.4.2,139.8522,0
neidL2_20260120T095511.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 09:55:11,959.818114,hr,Sci,2025B-391512,Juliette Becker,-57.0148,1.4137,0.0,14.9965,2461060.92510407,42.9078,0.001,v1.4.2,159.2387,0
neidL2_20260120T093123.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 09:31:23,960.004471,hr,Sci,2025B-391512,Juliette Becker,-61.8836,1.304,0.0,14.9801,2461060.90840932,42.9081,0.001,v1.4.2,160.3357,0
neidL2_20260120T091456.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 09:14:56,960.004322,hr,Sci,2025B-391512,Juliette Becker,-65.1596,1.243,0.0,14.9692,2461060.89727118,42.9084,0.001,v1.4.2,165.1591,0
neidL2_20260120T085828.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 08:58:28,960.004681,hr,Sci,2025B-391512,Juliette Becker,-68.3151,1.1919,0.0,14.9583,2461060.88569449,42.9067,9.0E-4,v1.4.2,173.3806,0
neidL2_20260120T084200.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 08:42:00,959.746416,hr,Sci,2025B-391512,Juliette Becker,-71.284,1.1491,0.0,14.9472,2461060.87424946,42.9058,9.0E-4,v1.4.2,180.6983,0
neidL2_20260120T081238.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 08:12:38,960.004614,hr,Sci,2025B-391512,Juliette Becker,-75.745,1.09,0.0,14.9256,2461060.85398015,42.9061,8.0E-4,v1.4.2,186.0165,0
neidL2_20260120T075610.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 07:56:10,960.004642,hr,Sci,2025B-391512,Juliette Becker,-77.4098,1.0653,0.0,14.9133,2461060.84257325,42.9056,9.0E-4,v1.4.2,174.4495,0
neidL2_20260120T073942.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 07:39:42,960.004387,hr,Sci,2025B-391512,Juliette Becker,-78.1267,1.0458,0.0,14.9011,2461060.83095107,42.905,9.0E-4,v1.4.2,172.3479,0
neidL2_20260120T072315.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 07:23:15,959.788644,hr,Sci,2025B-391512,Juliette Becker,-77.7282,1.0311,0.0,14.8885,2461060.81974685,42.904,9.0E-4,v1.4.2,176.5657,0
neidL2_20260120T070324.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 07:03:24,960.004499,hr,Sci,2025B-391512,Juliette Becker,-75.9189,1.0193,0.0,14.8724,2461060.80581597,42.9033,8.0E-4,v1.4.2,184.8817,0
neidL2_20260120T064657.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 06:46:57,960.004752,hr,Sci,2025B-391512,Juliette Becker,-73.6375,1.0144,0.0,14.8583,2461060.79475959,42.9031,9.0E-4,v1.4.2,171.6488,0
neidL2_20260120T063029.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 06:30:29,960.004424,hr,Sci,2025B-391512,Juliette Becker,-70.9156,1.0136,0.0,14.8448,2461060.7829822,42.904,0.001,v1.4.2,159.8543,0
neidL2_20260120T061401.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 06:14:01,960.004149,hr,Sci,2025B-391512,Juliette Becker,-67.9176,1.0169,0.0,14.8329,2461060.77141516,42.9059,9.0E-4,v1.4.2,175.3901,0
neidL2_20260120T055734.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 05:57:34,959.787478,hr,Sci,2025B-391512,Juliette Becker,-64.7451,1.0245,0.0,14.8225,2461060.76017732,42.9059,8.0E-4,v1.4.2,183.0156,0
neidL2_20260120T053752.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 05:37:52,960.004431,hr,Sci,2025B-391512,Juliette Becker,-60.8028,1.0394,0.0,14.8106,2461060.74645698,42.9064,9.0E-4,v1.4.2,176.9435,0
neidL2_20260120T052125.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 05:21:25,960.004567,hr,Sci,2025B-391512,Juliette Becker,-57.4281,1.057,0.0,14.8003,2461060.73512048,42.9067,9.0E-4,v1.4.2,169.6799,0
neidL2_20260120T050457.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 05:04:57,960.004886,hr,Sci,2025B-391512,Juliette Becker,-54.0065,1.0796,0.0,14.7898,2461060.72340143,42.9032,9.0E-4,v1.4.2,172.4584,0
neidL2_20260120T044829.fits,HD 53532,Gaia DR2 3368214650329888512,07:06:16.6987,+22:40:59.332,2026-01-20 04:48:29,960.004349,hr,Sci,2025B-391512,Juliette Becker,-50.5536,1.1078,0.0,14.7793,2461060.71217529,42.9024,9.0E-4,v1.4.2,176.0462,0
